Ref,Manufacturer,MPN,LCSC_or_gap,Package_or_footprint,Function,Assembly_class,Status_or_note
U1,Espressif,ESP32-S3-WROOM-1-N8R2,C2913204,RF_Module:ESP32-S3-WROOM-1,Wi-Fi/BLE MCU,PCBA_FACTORY,Selected; preserve module antenna keepout
U2,NXP,PN5321A3HN/C106,C880904,HVQFN-40-EP_6x6mm,NFC controller,PCBA_FACTORY,Selected NRND part; prototype and sourcing review required
AE1,PCB,etched_loop,N/A,PocketLab_Custom:NFC_Loop_35x27mm_4T_TUNE,NFC antenna,PCB_FEATURE,VNA tuning mandatory on fabricated board
U3,Ebyte,E07-900MM10S,C5844212,PocketLab_Custom:E07-900MM10S,855-925MHz CC1101 module with direct 50ohm antenna pad,PCBA_FACTORY,Selected 10x10mm module; 3.3V only; EU 868MHz configuration required
A1,DreamLNK,T3-868M,C381193,PocketLab_Custom:T3-868M_Edge_Solder,868MHz 50ohm spring antenna,MANUAL_EDGE_SOLDER,Hand-solder horizontally into the 18.8x6.58mm inboard pocket across the 0.6mm PCB bridge to the adjacent pad and add nonconductive strain relief; complete antenna remains inside card outline
U4,u-blox,MAX-M10S-00B,C4153167,RF_GPS:ublox_MAX,GNSS receiver,PCBA_FACTORY,Selected; passive external antenna is default
U5,Texas Instruments,BQ24074RGTR,C54313,VQFN-16-EP_3x3mm,1-cell charger and power path,PCBA_FACTORY,Selected; thermal-pad placement
U6,Texas Instruments,TPS63070RNMR,C109322,PocketLab_Custom:TPS63070_RNM0015A,3.3V buck-boost,PCBA_FACTORY,Selected; custom asymmetric power footprint
U7,Texas Instruments,TPS61023DRLR,C919459,SOT-563,Switchable 5V boost,PCBA_FACTORY,Selected; factory placement only
U8,Analog Devices,MAX17048G+T10,C2682616,TDFN-8-EP_2x2mm,LiPo fuel gauge,PCBA_FACTORY,Selected
U9,Texas Instruments,TCA9535PWR,C130204,TSSOP-24,Header GPIO expander,PCBA_FACTORY,Selected
